index,song_name,artist_name,album_names,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,id,link
0,Boulevard of Broken Dreams,Green Day,Greatest Hits: God's Favorite Band,0.73,0.1400585001449076,0.005520000000000001,0.496,0.682,2.94e-05,0.7272727272727273,0.0589,0.8592421876936039,1,0.0294,0.6894246403486327,0.8,0.474,Boulevard of Broken DreamsGreen Day,
1,In The End,Linkin Park,Hybrid Theory,0.66,0.1146577103705718,0.0103,0.542,0.853,0.0,0.2727272727272727,0.10800000000000001,0.8019478105717047,0,0.0498,0.43437136324994413,0.8,0.37,In The EndLinkin Park,
2,Seven Nation Army,The White Stripes,Elephant,0.76,0.12293814404150065,0.00817,0.737,0.46299999999999997,0.447,0.0,0.255,0.7667335761901222,1,0.0792,0.5112331729380399,0.8,0.324,Seven Nation ArmyThe White Stripes,
3,By The Way,Red Hot Chili Peppers,By The Way (Deluxe Version),0.74,0.1146577103705718,0.0264,0.451,0.97,0.00355,0.0,0.102,0.8383515475924962,1,0.107,0.5053029490174069,0.8,0.198,By The WayRed Hot Chili Peppers,
4,How You Remind Me,Nickelback,Silver Side Up,0.56,0.11851426640393074,0.0009539999999999999,0.447,0.7659999999999999,0.0,0.9090909090909092,0.113,0.8352043218595891,1,0.0313,0.7098564695978011,0.8,0.574,How You Remind MeNickelback,
5,Bring Me To Life,Evanescence,Fallen,0.8,0.1252656172895455,0.00895,0.316,0.945,1.85e-06,0.3636363636363637,0.396,0.8821896761083439,0,0.124,0.7838088792413275,0.8,0.32,Bring Me To LifeEvanescence,
6,Last Resort,Papa Roach,Infest,0.81,0.10512402187377262,0.000504,0.581,0.887,0.0011099999999999999,0.3636363636363637,0.268,0.8700468366664189,0,0.0624,0.37379806700286405,0.8,0.7240000000000001,Last ResortPapa Roach,
7,Are You Gonna Be My Girl,Jet,Get Born,0.76,0.112904832080638,0.00148,0.613,0.953,0.000582,0.18181818181818185,0.152,0.8755978489827274,1,0.0855,0.43350473344943424,0.8,0.537,Are You Gonna Be My GirlJet,
8,Mr. Brightside,The Killers,Hot Fuss,0.8,0.11782050033960967,0.00108,0.33,0.9359999999999999,0.0,0.09090909090909093,0.0926,0.8700220553614353,1,0.0917,0.6112298714911809,0.8,0.23399999999999999,Mr. BrightsideThe Killers,
9,Sex on Fire,Kings of Leon,Only By The Night,0.81,0.10705593656740216,0.00172,0.542,0.905,0.0104,0.8181818181818182,0.136,0.8206329145292791,1,0.054000000000000006,0.6330441816125917,0.8,0.374,Sex on FireKings of Leon,
